t1,t2,t3,t4,xr2,yr2,xr3,yr3,xr4,yr4,EAB
1.425,1.733,1.505,1.999,6.057,1.979,6.05,2.631,4.274,2.455,0.40 
1.38,1.356,1.649,1.102,3.923,1.735,3.055,1.966,5.984,1.981,0.47 
1.015,1.99,1.336,1.658,5.026,2.629,3.464,2.467,5.041,2.333,0.67 
1.14,1.797,1.361,1.264,5.284,1.554,3.763,1.868,3.805,1.833,0.68 
1.469,1.372,1.288,1.493,3.127,2.05,5.465,2.376,3.443,2.818,0.48 
1.21,1.762,1.039,1.202,6.011,2.334,5.144,1.565,4.232,2.876,0.45 
1.364,1.247,1.481,1.98,5.91,2.815,4.792,1.606,3.583,2.358,0.62 
1.747,1.132,1.501,1.571,3.254,1.802,3.423,1.972,5.689,1.681,0.51 
1.973,1.046,1.351,1.114,4.928,1.933,5.617,2.108,5.345,2.449,0.40 
1.568,1.522,1.183,1.724,5.675,2.162,3.538,2.796,4.58,1.875,0.59 
1.526,1.13,1.184,1.447,5.863,2.116,4.581,2.359,6.058,1.926,0.42 
1.693,1.301,1.203,1.123,5.082,2.498,6.275,2.017,6.372,2.342,0.32 
1.936,1.213,1.954,1.191,3.312,1.634,6.256,2.411,4.061,2.328,0.33 
1.744,1.003,1.259,1.278,5.48,2.871,4.514,1.649,3.176,2.972,0.46 
1.422,1.142,1.125,1.441,3.411,2.173,3.593,2.979,5.572,2.994,0.42 
1.879,1.158,1.254,1.508,5.052,2.911,4.008,2.966,4.146,2.526,0.42 
1.911,1.297,1.571,1.041,4.701,2.864,6.137,1.588,3.055,2.816,0.43 
1.401,1.083,1.049,1.289,3.398,2.458,5.37,2.096,3.725,2.889,0.43 
1.645,1.4,1.272,1.115,3.427,1.91,4.578,1.6,3.494,2.33,0.55 
1.71,1.658,1.264,1.488,3.061,2.031,4.685,2.17,5.547,1.783,0.52 
1.894,1.014,1.94,1.815,3.683,2.484,3.41,2.655,4.74,2.057,0.76 
1.748,1.617,1.522,1.247,4.139,1.693,5.428,1.943,4.534,1.72,0.54 
1.166,1.514,1.238,1.299,4.071,2.313,3.265,1.823,5.373,2.766,0.50 
1.589,1.394,1.049,1.813,3.043,2.093,4.594,2.557,6.496,2.243,0.24 
1.849,1.807,1.736,1.474,4.305,2.632,5.207,2.52,5.731,2.088,0.35 
1.346,1.039,1.037,1.087,4.673,1.736,5.23,2.867,5.258,1.768,0.28 
1.663,1.588,1.274,1.544,3.426,2.41,6.038,1.983,5.038,2.143,0.53 
1.028,1.256,1.661,1.168,3.088,1.786,4.281,2.513,3.642,1.544,0.44 
1.849,1.411,1.877,1.883,5.046,1.546,4.412,2.345,4.797,1.616,0.61 
1.53,1.079,1.182,1.694,6.44,1.936,4.419,2.639,5.323,2.065,0.46 
1.484,1.352,1.882,1.273,4.81,2.931,4.301,2.614,5.882,1.937,0.59 
1.386,1.22,1.023,1.234,5.241,1.651,5.782,2.454,4.375,2.445,0.34 
1.847,1.552,1.442,1.034,3.473,2.567,4.12,1.601,5.982,2.501,0.58 
1.462,1.621,1.226,1.532,5.245,2.326,5.303,2.538,4.544,2.081,0.54 
1.224,1.417,1.048,1.074,3.287,2.656,3.535,2.092,5.839,2.587,0.43 
1.232,1.251,1.207,1.881,6.496,2.161,5.027,2.578,4.042,1.632,0.50 
1.07,1.757,1.232,1.397,3.101,2.332,5.785,2.808,6.43,2.914,0.09 
1.803,1.663,1.202,1.396,4.344,1.795,4.616,2.948,5.927,2.621,0.29 
1.932,1.649,1.113,1.102,5.861,2.458,5.532,2.967,5.544,1.99,0.35 
1.335,1.348,1.322,1.487,5.969,1.996,3.944,2.309,3.838,2.706,0.57 
1.037,1.296,1.935,1.389,4.922,1.659,3.054,2.962,3.889,2.686,0.59 
1.019,1.425,1.613,1.293,5.214,2.458,4.96,2.148,3.16,2.408,0.57 
1.948,1.677,1.255,1.623,4.85,2.02,3.327,1.989,4.686,1.702,0.65 
1.274,1.692,1.037,1.376,3.769,2.5,3.746,2.93,6.394,2.361,0.35 
1.207,1.252,1.936,1.973,4.632,1.608,5.785,1.648,6.401,2.848,0.02 
1.303,1.566,1.768,1.444,4.013,2.207,3.934,2.785,5.291,2.356,0.45 
1.355,1.522,1.606,1.666,5.963,2.753,6.313,2.816,4.042,2.816,0.38 
1.681,1.944,1.726,1.387,5.545,1.828,3.905,2.9,3.045,2.251,0.57 
1.247,1.709,1.736,1.381,6.044,2.745,3.262,1.849,5.691,2.354,0.47 
1.126,1.532,1.735,1.414,4.223,2.451,6.453,2.037,4.089,2.527,0.35 
1.063,1.348,1.989,1.815,6.048,1.892,4.542,1.906,6.202,2.031,0.55 
1.1,1.645,1.234,1.562,4.731,2.781,3.315,2.358,5.291,1.541,0.59 
1.924,1.068,1.007,1.96,5.187,1.579,3.084,1.931,5.225,2.493,0.44 
1.415,1.034,1.924,1.366,3.492,2.544,4.257,2.962,3.103,2.279,0.62 
1.515,1.343,1.281,1.113,4.543,1.785,5.217,1.608,4.483,2.905,0.50 
1.478,1.757,1.276,1.967,5.469,2.828,3.637,1.821,4.945,1.647,0.65 
1.628,1.493,1.267,1.15,4.594,2.196,5.757,2.822,4.975,2.486,0.34 
1.353,1.636,1.296,1.44,3.645,1.901,3.1,2.034,3.398,2.101,0.69 
1.022,1.722,1.401,1.103,3.1,2.867,4.867,2.428,5.527,1.805,0.49 
1.277,1.319,1.453,1.63,5.73,2.31,4.345,2.56,6.464,2.165,0.47 
1.515,1.471,1.177,1.572,5.274,2.578,5.959,1.876,5.857,2.781,0.36 
1.803,1.487,1.19,1.258,5.401,2.298,3.132,2.369,5.484,2.63,0.52 
1.715,1.858,1.926,1.984,3.907,2.824,5.715,2.989,5.087,2.531,0.19 
1.211,1.237,1.899,1.608,3.611,2.343,3.441,2.67,5.471,2.985,0.28 
1.279,1.509,1.474,1.261,4.377,2.105,3.001,1.931,5.862,2.517,0.43 
1.36,1.164,1.789,1.547,5.267,2.866,5.969,1.638,6.432,2.366,0.40 
1.133,1.533,1.324,1.898,3.195,1.937,6.231,1.68,4.506,2.637,0.35 
1.614,1.19,1.547,1.179,5.829,2.898,3.874,2.327,4.465,2.094,0.48 
1.539,1.948,1.515,1.007,5.542,1.753,6.476,2.541,5.38,1.697,0.31 
1.028,1.646,1.191,1.902,5.121,2.766,6.449,2.666,6.176,1.565,0.33 
1.424,1.319,1.824,1.338,4.428,2.626,4.369,2.989,4.874,2.438,0.56 
1.422,1.667,1.028,1.159,3.399,2.576,4.636,1.732,6.219,2.569,0.47 
1.869,1.903,1.457,1.828,3.435,2.973,5.59,1.911,4.196,2.028,0.66 
1.519,1.408,1.124,1.658,6.484,2.557,4.071,1.716,5.502,1.821,0.55 
1.182,1.079,1.897,1.688,5.684,1.671,6.498,1.52,3.38,2.201,0.43 
1.791,1.126,1.188,1.343,5.494,1.56,4.552,2.24,5.859,1.749,0.43 
1.436,1.333,1.054,1.574,5.472,2.257,3.685,2.008,4.193,1.963,0.53 
1.178,1.651,1.278,1.898,3.48,2.744,6.133,2.469,6.228,2.844,0.09 
1.901,1.6,1.376,1.876,3.228,2.124,3.516,2.211,5.85,2.53,0.23 
1.333,1.283,1.234,1.069,5.506,1.77,4.749,1.675,6.141,1.607,0.38 
1.268,1.227,1.087,1.639,3.234,2.398,5.946,1.866,3.727,2.428,0.51 
1.539,1.644,1.255,1.577,5.981,2.524,5.044,1.681,3.068,2.411,0.52 
1.06,1.345,1.19,1.166,4.263,2.91,5.152,1.722,6.47,1.928,0.39 
1.98,1.516,1.501,1.912,5.277,2.691,6.327,1.846,3.407,2.796,0.50 
1.156,1.928,1.412,1.82,5.565,2.931,5.799,1.575,4.697,2.227,0.58 
1.492,1.196,1.158,1.782,5.442,1.708,3.332,2.036,5.684,2.519,0.48 
1.824,1.331,1.729,1.065,3.374,2.112,6.458,1.521,4.697,2.058,0.40 
1.473,1.403,1.847,1.502,3.037,1.899,3.199,2.729,3.732,1.894,0.61 
1.165,1.568,1.638,1.279,3.855,2.764,4.998,1.959,4.303,2.647,0.57 
1.094,1.259,1.796,1.107,5.922,2.842,5.84,2.684,3.429,2.217,0.32 
1.384,1.134,1.831,1.358,3.161,1.948,5.485,1.661,3.364,2.685,0.52 
1.474,1.386,1.677,1.461,4.509,1.765,5.136,2.855,6.258,2.331,0.17 
