tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
10.905,17.876,1.806,9.868,11.623,3.553,13.781,4.314,10.507,3.96,138
6.47,12.129,1.079,9.978,14.638,4.36,11.827,4.911,15.077,5.732,135
9.27,14.523,1.917,9.112,10.047,6.284,13.366,5.558,14.765,5.599,138
8.429,19.63,1.443,9.663,10.504,4.933,12.238,5.632,13.489,5.805,138
9.573,13.197,1.672,8.134,12.764,4.106,10.435,6.438,14.344,3.124,138
5.933,14.535,1.89,9.272,15.447,5.405,11.134,5.28,11.755,5.701,139
6.049,12.031,1.385,8.368,10.82,3.369,11.999,5.307,13.911,5.777,135
6.138,17.699,1.075,9.002,12.949,4.482,12.641,4.997,14.23,4.764,138
9.133,12.919,1.717,8.613,10.518,4.169,12.633,6.239,10.114,5.433,138
8.43,12.44,1.801,9.754,11.686,5.624,13.296,6.114,14.794,5.638,136
11.722,14.206,1.542,9.097,11.563,5.783,13.592,5.73,10.976,4.763,140
11.368,13.716,1.201,9.266,12.07,6.11,10.291,3.592,11.955,5.11,140
9.961,16.408,1.93,8.833,13.095,4.324,12.499,4.06,10.49,4.921,140
10.41,16.932,1.063,9.448,12.465,4.864,14.764,4.85,14.297,3.395,141
11.42,15.184,1.904,8.312,14.101,4.644,13.972,4.697,14.139,4.511,140
11.996,18.65,1.182,9.464,11.925,6.404,11.853,3.197,12.388,3.968,137
8.991,15.83,1.13,8.619,10.457,3.676,15.3,5.334,10.334,3.805,140
9.095,17.433,1.178,8.134,13.079,3.534,10.016,4.879,11.485,5.792,139
7.354,19.54,1.196,9.01,10.053,5.736,12.021,3.423,10.991,6.465,136
6.805,19.075,1.65,8.212,15.013,3.614,11.333,3.95,13.174,5.576,138
10.355,15.678,1.635,8.034,13.27,5.994,10.513,5.829,12.249,5.718,140
8.093,18.485,1.103,8.11,10.756,4.045,12.29,3.967,12.784,4.891,139
7.14,18.32,1.344,8.244,13.26,6.113,15.462,5.936,15.047,3.268,126
