tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
6.819,17.394,3.326,8.408,10.744,6.224,13.237,2.142,14.926,2.323,79
7.416,12.108,1.906,9.708,12.581,5.096,14.817,1.758,11.652,4.996,86
11.5,17.719,1.445,9.649,14.251,5.274,10.968,3.001,11.601,4.324,63
6.236,12.275,3.263,9.915,11.721,4.779,14.456,3.788,11.715,3.373,86
7.165,19.584,2.921,9.872,12.946,6.307,14.855,2.88,11.859,4.818,95
9.85,17.54,2.541,9.696,11.82,2.583,14.856,1.829,11.849,5.777,58
7.349,13.979,2.395,8.074,11.218,5.059,13.712,5.51,14.243,3.728,87
11.066,18.241,2.226,9.85,13.665,4.211,10.447,2.718,12.896,3.362,78
10.486,19.479,1.321,8.485,12.27,1.389,15.316,1.257,14.806,4.181,67
6.695,15.296,2.096,8.389,13.249,3.159,13.082,2.156,13.752,5.698,83
8.608,17.423,1.549,9.205,13.536,5.461,12.033,2.19,12.598,5.002,81
6.097,19.914,2.295,8.39,14.68,5.916,10.096,3.941,14.842,6.311,68
7.816,14.727,1.755,8.037,14.262,1.926,11.975,1.536,10.99,5.675,80
6.104,16.575,3.362,9.19,15.469,2.536,14.816,3.903,12.007,4.429,85
9.115,18.584,1.465,8.068,14.134,1.501,11.438,4.818,12.949,1.952,60
8.665,19.521,1.077,9.999,10.444,2.343,15.104,4.693,13.32,1.995,43
6.713,15.314,1.2,8.574,12.026,4.137,12.588,2.217,11.127,2.525,47
7.063,13.016,2.783,9.985,13.754,4.347,13.314,3.864,15.042,2.226,87
8.365,17.596,1.01,9.795,11.259,3.19,11.645,1.97,14.873,6.436,91
10.047,17.62,3.063,9.883,13.213,5.646,12.756,4.901,13.21,5.792,63
8.87,16.345,3.396,9.159,12.97,3.259,12.042,5.332,10.517,4.646,82
8.711,16.727,2.924,9.219,10.469,5.378,12.043,4.632,14.589,3.382,84
5.305,13.479,2.91,9.506,14.938,5.132,15.289,4.414,12.554,5.935,79
11.48,17.625,2.87,8.181,11.711,3.01,10.914,1.19,13.484,4.73,72
6.093,19.824,3.427,8.879,13.997,1.99,11.033,4.438,14.069,2.055,102
10.04,13.314,1.505,8.216,12.433,3.505,11.903,3.445,13.627,3.876,81
10.5,18.416,2.863,8.444,12.883,6.309,12.555,3.199,10.527,4.307,88
8.546,15.345,2.563,8.415,11.454,6.183,10.458,3.577,12.134,3.23,87
8.654,17.435,1.364,8.101,13.125,3.12,10.665,6.296,15.274,5.967,67
6.972,19.92,1.998,9.743,15.208,6.303,12.878,3.723,13.775,1.709,48
6.677,17.038,2.71,8.353,11.339,3.055,13.26,5.419,15.369,2.729,83
7.93,13.511,3.03,8.182,12.515,2.675,14.157,3.349,14.52,3.532,82
8.025,14.324,2.471,9.983,13.546,2.848,10.501,3.735,11.604,2.586,72
7.806,16.247,3.284,8.84,12.835,1.849,13.629,5.294,11.618,2.422,76
11.64,14.701,2.671,8.118,13.354,4.718,10.864,4.681,14.317,3.33,91
6.561,13.309,1.919,8.103,12.726,1.161,11.478,2.134,12.172,3.312,70
6.982,13.881,1.47,8.229,14.628,1.292,10.04,4.205,12.359,1.077,38
11.041,12.596,3.374,9.88,11.003,1.716,14.522,6.306,14.969,3.308,75
5.568,14.773,2.647,8.64,11.503,6.012,10.418,1.745,12.331,2.509,72
10.124,14.908,3.143,9.013,14.316,6.062,10.835,3.155,14.519,4.986,60
5.084,19.519,3.374,9.099,11.846,2.676,13.642,4.014,11.44,5.231,91
8.578,14.891,2.192,9.899,10.655,2.148,13.098,5.826,13.071,5.805,65
9.68,12.911,2.579,9.976,11.537,4.051,10.461,3.859,12.091,1.44,68
6.942,18.996,2.942,9.412,11.988,3.818,14.775,3.175,12.56,3.693,95
9.533,13.458,3.378,9.663,11.16,5.218,11.382,1.764,13.072,2.31,66
7.294,14.713,3.421,8.159,11.538,6.426,13.974,1.625,10.738,1.086,39
8.278,16.342,1.873,8.715,15.481,5.077,10.336,2.783,13.936,6.268,84
9.243,13.308,2.512,9.157,11.929,4.844,15.102,1.627,11.97,3.484,82
8.399,16.505,3.313,8.316,13.82,2.692,12.849,1.456,11.454,2.09,75
5.988,12.334,2.91,9.972,13.676,3.92,14.684,5.159,10.925,5.822,77
8.166,16.145,2.886,9.617,13.658,4.37,15.462,2.995,13.731,1.484,79
7.792,16.157,2.194,9.406,10.266,3.681,13.434,4.932,14.648,1.177,86
11.228,12.834,2.166,9.527,10.118,3.188,12.871,5.301,12.353,5.08,76
11.708,16.744,1.147,8.769,11.3,4.83,11.462,2.223,11.749,5.148,76
11.441,16.537,3.472,9.492,13.155,5.346,13.03,1.091,15.181,1.001,74
7.908,16.968,2.224,8.819,13.452,5.827,12.206,4.006,14.696,3.916,91
10.025,19.769,3.158,8.855,15.074,4.553,10.193,1.705,14.133,4.439,92
11.451,14.683,2.291,8.421,12.2,4.114,13.958,2.307,12.436,6.308,71
6.662,17.145,1.099,9.334,14.735,6.347,11.644,4.365,12.582,6.403,74
6.846,13.807,2.551,9.996,12.593,5.76,14.6,1.952,14.342,3.407,78
